ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_2218277	2.19e-04	3.24e-05	-4.528234	1.867549	-0.3948239	70609878	RPS2	ribosomal protein S2
ILMN_1720027	2.72e-04	4.25e-05	-4.449123	1.866034	-0.585147	751368105	ZNF23	zinc finger protein 23
ILMN_1743663	2.83e-04	4.45e-05	-4.43609	1.865422	-0.504216	116517318	POMT1	protein O-mannosyltransferase 1
ILMN_2401730	2.62e-04	4.06e-05	4.462577	1.864083	0.4428639	274321488	C1GALT1C1	C1GALT1 specific chaperone 1
ILMN_1708934	2.27e-04	3.39e-05	4.515514	1.863259	0.9474507	675022745	ADM	adrenomedullin
ILMN_1726025	2.73e-04	4.26e-05	-4.448857	1.861772	-0.3417914	257195176	ASXL1	additional sex combs like 1, transcriptional regulator
ILMN_1739428	2.21e-04	3.28e-05	4.525218	1.86087	0.8307335	153082754	IFIT2	interferon induced protein with tetratricopeptide repeats 2
ILMN_1740171	2.35e-04	3.54e-05	-4.502707	1.860656	-0.2583193	205277446	DUSP11	dual specificity phosphatase 11
ILMN_1747759	2.65e-04	4.11e-05	4.459234	1.852591	0.5814466	NA		
ILMN_1758055	2.83e-04	4.45e-05	4.435936	1.851132	0.5714195	NA		
ILMN_1731644	2.50e-04	3.83e-05	-4.479579	1.846932	-0.3380726	238624094	SETDB2	SET domain bifurcated 2
ILMN_2235137	2.72e-04	4.26e-05	-4.449059	1.845661	-0.5560385	987437910	FANCD2	Fanconi anemia complementation group D2
ILMN_1808811	2.46e-04	3.75e-05	4.4861	1.84453	0.6693422	154355001	SBNO2	strawberry notch homolog 2
ILMN_1674941	2.38e-04	3.60e-05	4.498274	1.841054	0.4318456	218156298	ANO6	anoctamin 6
ILMN_1674866	2.63e-04	4.07e-05	4.462076	1.839019	0.3791035	507417951	TADA3	transcriptional adaptor 3
ILMN_1656540	3.16e-04	5.08e-05	-4.396977	1.838006	-0.571409	197276633	RUVBL1	RuvB like AAA ATPase 1
ILMN_1669592	2.62e-04	4.05e-05	4.463428	1.835308	0.7031226	53729333	MARCH2	membrane associated ring-CH-type finger 2
ILMN_1769550	2.82e-04	4.42e-05	-4.437829	1.834016	-0.6298957	145580599	SLFN5	schlafen family member 5
ILMN_1795944	3.24e-04	5.24e-05	4.388183	1.824556	0.6385982	133778979	PRR13	proline rich 13
ILMN_1773650	2.51e-04	3.85e-05	-4.477961	1.82421	-1.3409659	153791506	LRRN3	leucine rich repeat neuronal 3
ILMN_1657871	2.45e-04	3.73e-05	4.487553	1.821587	1.7406913	90186265	RSAD2	radical S-adenosyl methionine domain containing 2
ILMN_1691449	2.40e-04	3.64e-05	-4.494682	1.81972	-0.314833	NA		
ILMN_2096405	2.39e-04	3.63e-05	-4.495328	1.819492	-0.2280167	71164896	WDR37	WD repeat domain 37
ILMN_1700628	2.49e-04	3.82e-05	-4.4806	1.814606	-0.4608036	14251213	DDX24	DEAD-box helicase 24
ILMN_1737157	2.46e-04	3.75e-05	4.485684	1.813759	0.5075947	987996504	GRAMD1A	GRAM domain containing 1A
ILMN_1773413	3.27e-04	5.30e-05	-4.384735	1.811116	-0.76551	194239703	DOCK9	dedicator of cytokinesis 9
ILMN_1745811	3.22e-04	5.21e-05	-4.389603	1.80551	-0.696067	225703098	TDRD3	tudor domain containing 3
ILMN_1737611	2.45e-04	3.73e-05	-4.487415	1.80528	-0.4391849	662033929	VAMP1	vesicle associated membrane protein 1
ILMN_1820572	3.30e-04	5.37e-05	-4.380899	1.802454	-0.6164775	27878898		
ILMN_1697629	2.50e-04	3.84e-05	-4.479179	1.800731	-0.4163107	167860108	JMJD7-PLA2G4B	JMJD7-PLA2G4B readthrough
ILMN_1782110	2.88e-04	4.55e-05	-4.429229	1.800688	-0.3822802	148491087	ZBTB21	zinc finger and BTB domain containing 21
ILMN_2396444	2.21e-04	3.29e-05	4.524325	1.800352	0.3845359	291575161	CD14	CD14 molecule
ILMN_1691188	2.45e-04	3.73e-05	4.487465	1.794413	0.3844819	313482814	UIMC1	ubiquitin interaction motif containing 1
ILMN_1700147	2.80e-04	4.39e-05	-4.44001	1.788255	-1.358141	206597510	VPREB3	pre-B lymphocyte 3
ILMN_1777759	3.26e-04	5.29e-05	-4.385239	1.777967	-1.2335744	333609273	FIGNL2	fidgetin like 2
ILMN_1789505	2.63e-04	4.07e-05	-4.461973	1.777381	-0.3823416	269954691	ITPR1	inositol 1,4,5-trisphosphate receptor type 1
ILMN_1714197	2.49e-04	3.82e-05	4.480777	1.774739	0.4131158	253970487	ACSS2	acyl-CoA synthetase short-chain family member 2
ILMN_1737074	2.20e-04	3.27e-05	-4.526335	1.773115	-0.2715327	NA		
ILMN_1802808	2.37e-04	3.58e-05	4.499463	1.772876	0.5768875	NA		
ILMN_1838113	3.39e-04	5.55e-05	4.371068	1.764994	0.9886305	19005164		
ILMN_1765222	2.96e-04	4.70e-05	4.419816	1.763236	0.6652522	765826562	CARS2	cysteinyl-tRNA synthetase 2, mitochondrial (putative)
ILMN_1682264	2.54e-04	3.90e-05	-4.474493	1.753394	-0.2707792	440918718	DCAF7	DDB1 and CUL4 associated factor 7
ILMN_2139943	2.39e-04	3.63e-05	-4.495404	1.753343	-0.2906346	386365494	RPS3A	ribosomal protein S3A
ILMN_1705737	2.63e-04	4.07e-05	-4.461795	1.753207	-0.5067726	66933015	IMPDH2	inosine monophosphate dehydrogenase 2
ILMN_2363426	2.76e-04	4.33e-05	4.443864	1.750851	0.6203899	402794166	MAX	MYC associated factor X
ILMN_1787378	2.54e-04	3.91e-05	-4.473909	1.74868	-0.3328993	1002341766	ADD3	adducin 3
ILMN_1669456	2.58e-04	3.98e-05	-4.468424	1.746206	-0.3693871	37693992	NME3	NME/NM23 nucleoside diphosphate kinase 3
ILMN_2319326	3.28e-04	5.32e-05	-4.383272	1.744941	-0.6573994	237681084	ADARB1	adenosine deaminase, RNA specific B1
ILMN_1805158	3.45e-04	5.66e-05	-4.365488	1.743704	-0.493028	319996596	TAF1A	TATA-box binding protein associated factor, RNA polymerase I subunit A
ILMN_1768930	2.56e-04	3.94e-05	-4.471399	1.741366	-0.2135195	60279266	U2AF2	U2 small nuclear RNA auxiliary factor 2
ILMN_2175465	2.57e-04	3.96e-05	-4.470424	1.741248	-0.3414284	18491027	RSL24D1	ribosomal L24 domain containing 1
ILMN_1743646	2.82e-04	4.43e-05	4.43733	1.737461	0.7257527	57165437	VASP	vasodilator-stimulated phosphoprotein
ILMN_2220283	2.86e-04	4.51e-05	-4.431821	1.733597	-0.6621113	115529279	HNRNPA1P10	heterogeneous nuclear ribonucleoprotein A1 pseudogene 10
ILMN_2413527	2.71e-04	4.22e-05	4.451593	1.73184	0.4928514	50593538	VCL	vinculin
ILMN_1714650	3.40e-04	5.56e-05	4.370515	1.72949	0.8437986	133930779	RASGRP4	RAS guanyl releasing protein 4
ILMN_2044453	2.67e-04	4.15e-05	-4.456071	1.726506	-0.427448	219281880	LPAR5	lysophosphatidic acid receptor 5
ILMN_1773148	3.40e-04	5.56e-05	-4.370424	1.726495	-0.5667636	808688288	MSANTD2	Myb/SANT DNA binding domain containing 2
ILMN_1692352	2.90e-04	4.59e-05	4.426841	1.724508	0.3585077	223671881	IRAK4	interleukin 1 receptor associated kinase 4
ILMN_1723212	2.76e-04	4.33e-05	-4.443906	1.723784	-0.4186374	194239695	SRSF3	serine and arginine rich splicing factor 3
ILMN_1860954	2.85e-04	4.48e-05	4.43393	1.721739	0.7284228	68216825		
ILMN_2357577	2.62e-04	4.06e-05	-4.462658	1.720384	-0.3518769	94557298	PRKAA1	protein kinase AMP-activated catalytic subunit alpha 1
ILMN_1805228	2.62e-04	4.06e-05	4.462976	1.718571	0.8993726	49574519	LRG1	leucine rich alpha-2-glycoprotein 1
