ID	Gene.symbol	Gene.title	log2(fold change)	-log10(Pvalue)
ILMN_1694966	ASGR2	asialoglycoprotein receptor 2	1.438	6.194
ILMN_1695246	KLHDC8B	kelch domain containing 8B	1.01	7.684
ILMN_1695435			1.442	8.632
ILMN_1695744	LILRB2	leukocyte immunoglobulin like receptor B2	1.018	5.05
ILMN_1697777	TSTA3	tissue specific transplantation antigen P35B	1.363	7.237
ILMN_1698164			1.437	4.422
ILMN_1698519			1.12	2.893
ILMN_1698725	FRMD3	FERM domain containing 3	1.106	9.572
ILMN_1698803	ZAK	sterile alpha motif and leucine zipper containing kinase AZK	1.227	5.761
ILMN_1699599	FCRL3	Fc receptor like 3	-1.471	7.023
ILMN_1699695	TNFRSF21	TNF receptor superfamily member 21	-1.046	3.209
ILMN_1700147	VPREB3	pre-B lymphocyte 3	-1.358	4.358
ILMN_1700994	KREMEN1	kringle containing transmembrane protein 1	1.053	8.851
ILMN_1701114	GBP1	guanylate binding protein 1	1.889	12.504
ILMN_1701237	SH2D1B	SH2 domain containing 1B	-1.167	5.771
ILMN_1701243	C10orf2	chromosome 10 open reading frame 2	-1.105	5.282
ILMN_1701455	FBXO6	F-box protein 6	1.253	11.201
ILMN_1701603	ALPL	alkaline phosphatase, liver/bone/kidney	1.055	3.667
ILMN_1701621	SCO2	SCO2 cytochrome c oxidase assembly protein	1.261	11.075
ILMN_1701789	IFIT3	interferon induced protein with tetratricopeptide repeats 3	1.393	6.136
ILMN_1701914	CD274	CD274 molecule	2.314	9.494
ILMN_1702120	NDUFAF3	NADH:ubiquinone oxidoreductase complex assembly factor 3	1.654	7.437
ILMN_1703108	UBE2L6	ubiquitin conjugating enzyme E2 L6	1.2	12.636
ILMN_1705297	MYBPH	myosin binding protein H	-1.025	1.721
ILMN_1706268	PTGDR	prostaglandin D2 receptor	-1.216	6.172
ILMN_1706635	ELANE	elastase, neutrophil expressed	1.362	5.175
ILMN_1707124	TFPI	tissue factor pathway inhibitor	1.082	7.091
ILMN_1707979	CARD17	caspase recruitment domain family member 17	2.584	6.634
ILMN_1708728	H2AFJ	H2A histone family member J	1.09	12.291
ILMN_1708881	RAB20	RAB20, member RAS oncogene family	1.171	5.354
ILMN_1710017	CD79B	CD79b molecule	-1.105	6.09
ILMN_1710734	GZMK	granzyme K	-1.545	10.298
ILMN_1710740	C2	complement component 2	1.221	4.699
ILMN_1711514	COCH	cochlin	-1.2	5.545
ILMN_1711702	CLEC2D	C-type lectin domain family 2 member D	-1.014	9.004
ILMN_1712719	MAP7	microtubule associated protein 7	-1.64	5.029
ILMN_1712721	GAST	gastrin	1.039	5.455
ILMN_1713058	PSTPIP2	proline-serine-threonine phosphatase interacting protein 2	1.498	14.542
ILMN_1714093	RMND5A	required for meiotic nuclear division 5 homolog A	1.036	3.791
ILMN_1714445	SLC6A9	solute carrier family 6 member 9	1.012	3.273
ILMN_1715417	SELP	selectin P	1.285	5.97
ILMN_1715603	IL23A	interleukin 23 subunit alpha	-1.248	4.929
ILMN_1716687	TPM1	tropomyosin 1 (alpha)	1.052	7.857
ILMN_1716815	CEACAM1	carcinoembryonic antigen related cell adhesion molecule 1	1.311	7.799
ILMN_1717594	AP5B1	adaptor related protein complex 5 beta 1 subunit	1.233	6.853
