"initial_alias","converted_alias","name","description","namespace"
"SOCS1","ENSG00000185338","SOCS1","suppressor of cytokine signaling 1 [Source:HGNC Symbol;Acc:HGNC:19383]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FBXO6","ENSG00000116663","FBXO6","F-box protein 6 [Source:HGNC Symbol;Acc:HGNC:13585]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SCO2","ENSG00000284194","SCO2","synthesis of cytochrome C oxidase 2 [Source:HGNC Symbol;Acc:HGNC:10604]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UPP1","ENSG00000183696","UPP1","uridine phosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12576]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RHBDF2","ENSG00000129667","RHBDF2","rhomboid 5 homolog 2 [Source:HGNC Symbol;Acc:HGNC:20788]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TPM4","ENSG00000167460","TPM4","tropomyosin 4 [Source:HGNC Symbol;Acc:HGNC:12013]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GBP6","ENSG00000183347","GBP6","guanylate binding protein family member 6 [Source:HGNC Symbol;Acc:HGNC:25395]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IFI35","ENSG00000068079","IFI35","interferon induced protein 35 [Source:HGNC Symbol;Acc:HGNC:5399]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CYB5R3","ENSG00000100243","CYB5R3","cytochrome b5 reductase 3 [Source:HGNC Symbol;Acc:HGNC:2873]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RHBDF2","ENSG00000129667","RHBDF2","rhomboid 5 homolog 2 [Source:HGNC Symbol;Acc:HGNC:20788]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FLVCR2","ENSG00000119686","FLVCR2","FLVCR choline and putative heme transporter 2 [Source:HGNC Symbol;Acc:HGNC:20105]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PLSCR1","ENSG00000188313","PLSCR1","phospholipid scramblase 1 [Source:HGNC Symbol;Acc:HGNC:9092]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SMARCD3","ENSG00000082014","SMARCD3","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3 [Source:HGNC Symbol;Acc:HGNC:11108]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ATG3","ENSG00000144848","ATG3","autophagy related 3 [Source:HGNC Symbol;Acc:HGNC:20962]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"VPS9D1","ENSG00000075399","VPS9D1","VPS9 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:13526]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SP100","ENSG00000067066","SP100","SP100 nuclear antigen [Source:HGNC Symbol;Acc:HGNC:11206]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CASP5","ENSG00000137757","CASP5","caspase 5 [Source:HGNC Symbol;Acc:HGNC:1506]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IRF1","ENSG00000125347","IRF1","interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OBFC1","None","None","None",""
"TRAFD1","ENSG00000135148","TRAFD1","TRAF-type zinc finger domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24808]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"APOL2","ENSG00000128335","APOL2","apolipoprotein L2 [Source:HGNC Symbol;Acc:HGNC:619]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TAP1","ENSG00000168394","TAP1","transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MOV10","ENSG00000155363","MOV10","Mov10 RNA helicase [Source:HGNC Symbol;Acc:HGNC:7200]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NPC2","ENSG00000119655","NPC2","NPC intracellular cholesterol transporter 2 [Source:HGNC Symbol;Acc:HGNC:14537]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LIMK2","ENSG00000182541","LIMK2","LIM domain kinase 2 [Source:HGNC Symbol;Acc:HGNC:6614]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IFI30","ENSG00000216490","IFI30","IFI30 lysosomal thiol reductase [Source:HGNC Symbol;Acc:HGNC:5398]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ATOX1","ENSG00000177556","ATOX1","antioxidant 1 copper chaperone [Source:HGNC Symbol;Acc:HGNC:798]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IGF2BP3","ENSG00000136231","IGF2BP3","insulin like growth factor 2 mRNA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:28868]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GK","ENSG00000198814","GK","glycerol kinase [Source:HGNC Symbol;Acc:HGNC:4289]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CREBBP","ENSG00000005339","CREBBP","CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SQRDL","None","None","None",""
"TRIM21","ENSG00000132109","TRIM21","tripartite motif containing 21 [Source:HGNC Symbol;Acc:HGNC:11312]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MEF2A","ENSG00000068305","MEF2A","myocyte enhancer factor 2A [Source:HGNC Symbol;Acc:HGNC:6993]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FRMD3","ENSG00000172159","FRMD3","FERM domain containing 3 [Source:HGNC Symbol;Acc:HGNC:24125]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GP6","ENSG00000088053","GP6","glycoprotein VI platelet [Source:HGNC Symbol;Acc:HGNC:14388]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CD274","ENSG00000120217","CD274","CD274 molecule [Source:HGNC Symbol;Acc:HGNC:17635]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TAP2","ENSG00000204267","TAP2","transporter 2, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:44]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CTSA","ENSG00000064601","CTSA","cathepsin A [Source:HGNC Symbol;Acc:HGNC:9251]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
